id	message	like_count
2037832236280532_2037835939613495	11	Vamos sonhar de Novo, da mesma forma que a gente já fez, Com um Pais DO POVO.. # 13HADDADEMANUELA13
2037832236280532_2037836466280109	5	Haddad manda um abraço pra mim fui em Curitiba pra te abraçar não consegui
2037832236280532_2037836249613464	9	Bahia de ponta ponta vota 13
2037832236280532_2037837019613387	1	DA ATE PENA DE HADAD ... NAO FALA UMA PALAVRA
2037832236280532_2037836469613442	3	O Brasil quer felicihadad gostei
2037832236280532_2037837129613376	2	Aqui na Bahia você é estourado
2037832236280532_2037836762946746	3	Viva!!! O 13 é barril ❤
2037832236280532_2037836226280133	3	Haddad Harmonia, Alegria, Ética, Dignidade, Amor 💕
2037832236280532_2037834269613662	3	Haddad Presidente!!! É 13 de ponta a ponta!
2037832236280532_2037836206280135	2	Haddad presidente Manu vice PT 13
2037832236280532_2037835672946855	2	Joguem o borďão: O Brasil quer felicihaddad!
2037832236280532_2037836559613433	2	Ceará 13,
2037832236280532_2037834986280257	2	Maravilhosos!!!!
2037832236280532_2037833809613708	1	Haddad Pernambuco é teu !
2037832236280532_2037835712946851	0	Sou do Piauí
2037832236280532_2037836756280080	1	1⃣3⃣😂🇧🇷🇧🇷
2037832236280532_2037836132946809	1	1⃣3⃣🇧🇷
2037832236280532_2037836652946757	2	#Haddad ❤
2037832236280532_2037833946280361	1	Haddad nosso presidente
2037832236280532_2037834459613643	2	Meu presidente amooo
2037832236280532_2037836602946762	2	HaddadeManu ❤❤❤❤
2037832236280532_2037834859613603	1	Haddad 13
2037832236280532_2037834362946986	1	Haddad é vitoria certa
2037832236280532_2037838146279941	0	#FAZERJUSTIÇAÉVOTAR13
2037832236280532_2037838646279891	1	Perfeição é a combinação: Haddad é Manuela!!!!!!
2037832236280532_2037837792946643	0	Que orgulho ter um presidente como Haddad
2037832236280532_2037834522946970	1	Haddad e Manu é luxo para todos!!!!
2037832236280532_2037835452946877	0	Manda um alô pra meu estado Haddad
2037832236280532_2037833392947083	1	Tah horrivel... soh caindo
2037832236280532_2037834386280317	1	Haddad, Manu e Ruy♥️
2037832236280532_2037837079613381	1	Que lindos!
2037832236280532_2037835732946849	1	✊Manu e Haddad ✊
2037832236280532_2037835032946919	1	Haddad ❤️
2037832236280532_2037833929613696	1	Haddad e Manuela
2037832236280532_2037835636280192	0	Olá, Haddad, Manuela!
2037832236280532_2037836526280103	0	1⃣3⃣🇧🇷
2037832236280532_2037836402946782	0	1⃣3⃣🇧🇷😂😂
2037832236280532_2037835929613496	0	13🇧🇷1⃣3⃣
2037832236280532_2037835626280193	0	1⃣3⃣😂🇧🇷
